,Institute ID,Name,TLR (100),RPC (100),GO (100),OI (100),PERCEPTION (100),City,State,Score,Rank
56,IR-E-U-0297,Defence Institute of Advanced Technology,69.03,41.76,54.06,58.16,2.69,Pune,Maharashtra,50.14,57
57,IR-E-U-0172,National Institute of Technology Kurukshetra,54.95,41.20,60.55,54.13,35.17,Kurukshetra,Haryana,49.89,58
58,IR-E-U-0844,"Indian Institute of Technology, Tirupati",75.50,18.49,62.71,58.15,32.52,Yerpedu,Andhra Pradesh,49.80,59
59,IR-E-C-6379,Netaji Subhas University of Technology (NSUT),68.96,23.44,75.55,46.27,22.25,South West,Delhi,49.68,60
60,IR-E-C-7252,Manipal Institute of Technology,65.74,35.65,54.01,62.25,21.78,Manipal,Karnataka,49.62,61
61,IR-E-U-0555,Graphic Era University,64.10,32.12,53.76,68.53,31.23,Dehradun,Uttarakhand,49.59,62
62,IR-E-C-37013,PSG College of Technology,64.51,29.98,54.90,47.21,53.86,Coimbatore,Tamil Nadu,49.43,63
63,IR-E-I-1441,Saveetha Institute of Medical and Technical Sciences,71.38,46.01,34.86,69.33,1.94,Chennai,Tamil Nadu,49.30,64
64,IR-E-U-0149,Sardar Vallabhbhai National Institute of Technology,57.79,40.93,66.01,51.56,10.17,Surat,Gujarat,49.00,65
65,IR-E-U-0474,Sathyabama Institute of Science and Technology,61.03,44.04,47.51,66.76,11.70,Chennai,Tamil Nadu,48.87,66
66,IR-E-U-0906,Indian Institute of Technology Jammu,74.62,21.51,57.32,56.55,22.01,Jammu,Jammu and Kashmir,48.15,67
67,IR-E-U-0389,Banasthali Vidyapith,64.41,21.26,72.53,73.04,4.16,Banasthali,Rajasthan,47.93,68
68,IR-E-U-0878,Indian Institute of Technology Palakkad,71.97,17.51,61.18,65.98,21.78,Palakkad,Kerala,47.86,69
69,IR-E-U-0092,"National Institute of Technology, Raipur",55.59,40.36,64.35,55.81,4.51,Raipur,Chhattisgarh,47.69,70
70,IR-E-U-0042,University of Hyderabad,59.36,45.92,54.33,43.21,7.27,Hyderabad,Telangana,47.51,71
71,IR-E-U-0619,National Institute of Technology Meghalaya,67.55,31.37,57.65,55.41,5.22,Shillong,Meghalaya,47.27,72
72,IR-E-C-41593,"College of Engineering, Pune",65.50,22.62,66.89,51.62,19.10,Pune,Maharashtra,46.89,73
73,IR-E-U-0221,International Institute of Information Technology Bangalore,67.24,20.86,63.07,58.61,16.78,Bengaluru,Karnataka,46.58,74
74,IR-E-U-0105,Indraprastha Institute of Information Technology Delhi,51.99,36.68,69.89,47.33,12.59,New Delhi,Delhi,46.57,75
75,IR-E-U-0749,Manipal University Jaipur,58.57,33.30,61.23,63.50,2.32,Jaipur,Rajasthan,46.39,76
76,IR-E-C-36995,Sri Krishna College of Engineering and Technology,63.67,24.55,64.10,49.95,17.57,Coimbatore,Tamil Nadu,46.03,77
77,IR-E-C-1331,M. S. Ramaiah Institute of Technology,65.79,22.31,61.93,55.66,15.97,Bengaluru,Karnataka,45.99,78
78,IR-E-U-0535,Rajiv Gandhi Institute of Petroleum Technology,76.68,12.55,68.50,54.57,0.40,Amethi,Uttar Pradesh,45.97,79
79,IR-E-U-0284,Maulana Azad National Institute of Technology,54.03,32.76,65.79,60.68,6.26,Bhopal,Madhya Pradesh,45.90,80
80,IR-E-U-0946,Indian Institute of Technology Bhilai,73.09,13.54,65.54,59.29,8.26,Raipur,Chhattisgarh,45.86,81
81,IR-E-U-0197,National Institute of Technology Srinagar,58.44,26.62,64.89,59.67,12.30,Srinagar,Jammu and Kashmir,45.70,82
82,IR-E-U-0017,Jawaharlal Nehru Technological University,65.91,27.62,49.71,55.17,12.30,Hyderabad,Telangana,44.75,83
83,IR-E-U-0099,Guru Gobind Singh Indraprastha University,55.33,33.69,56.26,46.54,17.04,New Delhi,Delhi,44.31,84
84,IR-E-U-0043,"Vignan's Foundation for Science, Technology and Research",63.21,27.18,48.67,61.13,7.93,Guntur,Andhra Pradesh,43.74,85
85,IR-E-C-16626,Rajalakshmi Engineering College,65.55,14.62,62.30,63.29,6.26,Chennai,Tamil Nadu,43.46,86
86,IR-E-U-0489,Vel Tech Rangarajan Dr. Sagunthala R & D Institute of Science and Technology,59.49,34.78,38.33,65.91,8.91,Chennai,Tamil Nadu,43.43,87
87,IR-E-U-0267,Atal Bihari Vajpayee Indian Institute of Information Technology and Management,52.56,20.81,74.64,58.08,6.60,Gwalior,Madhya Pradesh,43.41,88
88,IR-E-U-0516,Indian Institute of Information Technology Allahabad,45.02,21.94,77.31,53.63,23.85,Prayagraj (Allahabad),Uttar Pradesh,43.29,89
89,IR-E-U-0620,National Institute of Technology Goa,59.25,23.92,56.69,58.46,11.40,Ponda,Goa,43.28,90
90,IR-E-U-0493,National Institute of Technology Agartala,54.36,28.21,59.38,59.61,6.26,Agratala,Tripura,43.24,91
91,IR-E-U-0373,Chitkara  University,47.51,30.88,52.35,62.84,22.25,Rajpura,Punjab,42.48,92
92,IR-E-U-0899,Indian Institute Of Technology Dharwad,64.84,15.16,57.36,39.17,29.69,Dharwad,Karnataka,42.36,93
93,IR-E-C-24004,AU College of Engineering (A),59.16,12.98,72.07,56.81,5.92,Visakhapatnam,Andhra Pradesh,42.32,94
94,IR-E-U-0613,National Institute of Technology Manipur,63.06,20.62,53.37,61.24,3.79,Imphal,Manipur,42.28,95
95,IR-E-C-1269,R.V. College of Engineering,63.55,17.05,57.16,52.04,14.03,Bengaluru,Karnataka,42.22,96
96,IR-E-U-0286,"Pandit Dwarka Prasad Mishra Indian Institute of Information Technology, Design and Manufacturing (IIITDM)",44.65,30.48,68.44,56.03,3.06,Jabalpur,Madhya Pradesh,42.14,97
97,IR-E-C-19754,SR University,65.32,15.79,51.98,62.66,10.79,Warangal,Telangana,42.09,98
98,IR-E-U-0155,"Amity University Haryana, Gurgaon",64.15,21.73,45.29,63.74,7.93,"Gurugram, Haryana",Haryana,41.99,99
99,IR-E-C-30045,"C.V. Raman Global University, Odisha",69.79,5.70,58.27,69.95,6.26,Bhubaneswar,Odisha,41.93,100
